,state,county,population,county_name,state_name
1968,37,113,33991.0,Macon County, North Carolina
1969,37,115,21130.0,Madison County, North Carolina
1970,37,117,23510.0,Martin County, North Carolina
1971,37,119,1011774.0,Mecklenburg County, North Carolina
1972,37,121,15263.0,Mitchell County, North Carolina
1973,37,123,27475.0,Montgomery County, North Carolina
1974,37,125,93070.0,Moore County, North Carolina
1975,37,127,94385.0,Nash County, North Carolina
1976,37,129,216430.0,New Hanover County, North Carolina
1977,37,131,20628.0,Northampton County, North Carolina
1978,37,133,185755.0,Onslow County, North Carolina
1979,37,135,139807.0,Orange County, North Carolina
1980,37,137,12892.0,Pamlico County, North Carolina
1981,37,139,39909.0,Pasquotank County, North Carolina
1982,37,141,56358.0,Pender County, North Carolina
1983,37,143,13470.0,Perquimans County, North Carolina
1984,37,145,39196.0,Person County, North Carolina
1985,37,147,175150.0,Pitt County, North Carolina
1986,37,149,20324.0,Polk County, North Carolina
1987,37,151,142588.0,Randolph County, North Carolina
1988,37,153,45710.0,Richmond County, North Carolina
1989,37,155,134576.0,Robeson County, North Carolina
1990,38,001,2348.0,Adams County, North Dakota
1991,38,003,11033.0,Barnes County, North Dakota
1992,38,005,6802.0,Benson County, North Dakota
1993,38,007,936.0,Billings County, North Dakota
1994,38,009,6650.0,Bottineau County, North Dakota
1995,38,011,3238.0,Bowman County, North Dakota
1996,38,013,2239.0,Burke County, North Dakota
1997,38,015,90560.0,Burleigh County, North Dakota
1998,38,017,166852.0,Cass County, North Dakota
1999,38,019,3867.0,Cavalier County, North Dakota
2000,38,021,5160.0,Dickey County, North Dakota
2001,38,023,2369.0,Divide County, North Dakota
2002,38,025,4284.0,Dunn County, North Dakota
2003,38,027,2370.0,Eddy County, North Dakota
2004,38,029,3426.0,Emmons County, North Dakota
2005,38,031,3345.0,Foster County, North Dakota
2006,38,033,1895.0,Golden Valley County, North Dakota
2007,38,035,69793.0,Grand Forks County, North Dakota
2008,38,037,2369.0,Grant County, North Dakota
2009,38,039,2311.0,Griggs County, North Dakota
2010,38,041,2639.0,Hettinger County, North Dakota
2011,38,043,2419.0,Kidder County, North Dakota
2012,38,045,4111.0,LaMoure County, North Dakota
2013,38,047,1939.0,Logan County, North Dakota
2014,38,049,5912.0,McHenry County, North Dakota
2015,38,051,2737.0,McIntosh County, North Dakota
2016,38,053,10718.0,McKenzie County, North Dakota
2017,38,055,9576.0,McLean County, North Dakota
2018,38,057,8671.0,Mercer County, North Dakota
2019,38,059,29633.0,Morton County, North Dakota
2020,38,061,9675.0,Mountrail County, North Dakota
2021,38,063,3032.0,Nelson County, North Dakota
2022,38,065,1768.0,Oliver County, North Dakota
2023,38,067,7136.0,Pembina County, North Dakota
2024,38,069,4373.0,Pierce County, North Dakota
2025,38,071,11578.0,Ramsey County, North Dakota
2026,38,073,5457.0,Ransom County, North Dakota
2027,38,075,2573.0,Renville County, North Dakota
2028,38,077,16329.0,Richland County, North Dakota
2029,38,079,14607.0,Rolette County, North Dakota
2030,38,081,3889.0,Sargent County, North Dakota
2031,38,083,1395.0,Sheridan County, North Dakota
2032,38,085,4431.0,Sioux County, North Dakota
2033,38,087,665.0,Slope County, North Dakota
2034,38,089,29837.0,Stark County, North Dakota
2035,38,091,1969.0,Steele County, North Dakota
2036,38,093,21108.0,Stutsman County, North Dakota
2037,38,095,2292.0,Towner County, North Dakota
2038,38,097,8075.0,Traill County, North Dakota
2039,38,099,10995.0,Walsh County, North Dakota
2040,38,101,68954.0,Ward County, North Dakota
2041,38,103,4179.0,Wells County, North Dakota
2042,38,105,31643.0,Williams County, North Dakota
2043,39,001,28111.0,Adams County, Ohio
2044,39,003,104664.0,Allen County, Ohio
2045,39,005,53343.0,Ashland County, Ohio
2046,39,007,99175.0,Ashtabula County, Ohio
2047,39,009,65103.0,Athens County, Ohio
2048,39,011,45871.0,Auglaize County, Ohio
2049,39,013,69228.0,Belmont County, Ohio
2050,39,015,44059.0,Brown County, Ohio
2051,39,017,373638.0,Butler County, Ohio
2052,39,019,28108.0,Carroll County, Ohio
2053,39,021,39175.0,Champaign County, Ohio
2054,39,023,136175.0,Clark County, Ohio
2055,39,025,201092.0,Clermont County, Ohio
2056,39,027,41854.0,Clinton County, Ohio
2057,39,029,105230.0,Columbiana County, Ohio
2058,39,031,36665.0,Coshocton County, Ohio
2059,39,033,42485.0,Crawford County, Ohio
2060,39,035,1258710.0,Cuyahoga County, Ohio
2061,39,037,52185.0,Darke County, Ohio
2062,39,039,38488.0,Defiance County, Ohio
2063,39,041,188996.0,Delaware County, Ohio
2064,39,043,75808.0,Erie County, Ohio
2065,39,045,150163.0,Fairfield County, Ohio
2066,39,047,28719.0,Fayette County, Ohio
2067,39,049,1232118.0,Franklin County, Ohio
2068,39,051,42466.0,Fulton County, Ohio
2069,39,053,30376.0,Gallia County, Ohio
2070,39,055,94020.0,Geauga County, Ohio
2071,39,057,164325.0,Greene County, Ohio
2072,39,059,39478.0,Guernsey County, Ohio
2073,39,061,805965.0,Hamilton County, Ohio
2074,39,063,75672.0,Hancock County, Ohio
2075,39,065,31652.0,Hardin County, Ohio
2076,39,067,15521.0,Harrison County, Ohio
2077,39,069,27890.0,Henry County, Ohio
2078,39,071,43109.0,Highland County, Ohio
2079,39,073,28690.0,Hocking County, Ohio
2080,39,075,43702.0,Holmes County, Ohio
2081,39,077,58704.0,Huron County, Ohio
2082,39,079,32717.0,Jackson County, Ohio
2083,39,081,67607.0,Jefferson County, Ohio
2084,39,083,60878.0,Knox County, Ohio
2085,39,085,229266.0,Lake County, Ohio
2086,39,087,61503.0,Lawrence County, Ohio
2087,39,089,169762.0,Licking County, Ohio
2088,39,091,45388.0,Logan County, Ohio
2089,39,093,304091.0,Lorain County, Ohio
2090,39,095,434800.0,Lucas County, Ohio
2091,39,097,43537.0,Madison County, Ohio
2092,39,099,233015.0,Mahoning County, Ohio
2093,39,101,65620.0,Marion County, Ohio
2094,39,103,175543.0,Medina County, Ohio
2095,39,105,23345.0,Meigs County, Ohio
2096,39,107,40886.0,Mercer County, Ohio
2097,39,109,103864.0,Miami County, Ohio
2098,39,111,14442.0,Monroe County, Ohio
2099,39,113,532761.0,Montgomery County, Ohio
2100,39,115,14857.0,Morgan County, Ohio
2101,39,117,35032.0,Morrow County, Ohio
2102,39,119,85991.0,Muskingum County, Ohio
2103,39,121,14429.0,Noble County, Ohio
2104,39,123,40981.0,Ottawa County, Ohio
2105,39,125,19057.0,Paulding County, Ohio
